,feature,Feature_Importance,sample_size,model
0,Term: 36 months,0.0077,5000,rfc
1,Term: 60 months,0.0079,5000,rfc
2,Loan_Grade:A,0.0125,5000,rfc
3,Loan_Grade:B,0.0079,5000,rfc
4,Loan_Grade:C,0.0068,5000,rfc
5,Loan_Grade:D,0.0079,5000,rfc
6,Loan_Grade:E,0.0038,5000,rfc
7,Loan_Grade:F,0.0032,5000,rfc
8,Loan_Grade:G,0.001,5000,rfc
9,Loan_SubGrade:A1,0.0018,5000,rfc
10,Loan_SubGrade:A2,0.0029,5000,rfc
11,Loan_SubGrade:A3,0.0025,5000,rfc
12,Loan_SubGrade:A4,0.0033,5000,rfc
13,Loan_SubGrade:A5,0.0032,5000,rfc
14,Loan_SubGrade:B1,0.0033,5000,rfc
15,Loan_SubGrade:B2,0.0041,5000,rfc
16,Loan_SubGrade:B3,0.0034,5000,rfc
17,Loan_SubGrade:B4,0.004,5000,rfc
18,Loan_SubGrade:B5,0.0036,5000,rfc
19,Loan_SubGrade:C1,0.0044,5000,rfc
20,Loan_SubGrade:C2,0.0033,5000,rfc
21,Loan_SubGrade:C3,0.0032,5000,rfc
22,Loan_SubGrade:C4,0.0053,5000,rfc
23,Loan_SubGrade:C5,0.0041,5000,rfc
24,Loan_SubGrade:D1,0.0039,5000,rfc
25,Loan_SubGrade:D2,0.0035,5000,rfc
26,Loan_SubGrade:D3,0.0037,5000,rfc
27,Loan_SubGrade:D4,0.0037,5000,rfc
28,Loan_SubGrade:D5,0.0047,5000,rfc
29,Loan_SubGrade:E1,0.0027,5000,rfc
30,Loan_SubGrade:E2,0.0011,5000,rfc
31,Loan_SubGrade:E3,0.0014,5000,rfc
32,Loan_SubGrade:E4,0.0018,5000,rfc
33,Loan_SubGrade:E5,0.0019,5000,rfc
34,Loan_SubGrade:F1,0.0008,5000,rfc
35,Loan_SubGrade:F2,0.0003,5000,rfc
36,Loan_SubGrade:F3,0.0,5000,rfc
37,Loan_SubGrade:F4,0.0002,5000,rfc
38,Loan_SubGrade:F5,0.0002,5000,rfc
39,Loan_SubGrade:G1,0.001,5000,rfc
40,Loan_SubGrade:G2,0.0001,5000,rfc
41,Loan_SubGrade:G3,0.0,5000,rfc
42,Loan_SubGrade:G4,0.0001,5000,rfc
43,Loan_SubGrade:1 year,0.0063,5000,rfc
44,Employment_Length:10+ years,0.0117,5000,rfc
45,Employment_Length:2 years,0.0069,5000,rfc
46,Employment_Length:3 years,0.0063,5000,rfc
47,Employment_Length:4 years,0.0053,5000,rfc
48,Employment_Length:5 years,0.0057,5000,rfc
49,Employment_Length:6 years,0.0045,5000,rfc
50,Employment_Length:7 years,0.004,5000,rfc
51,Employment_Length:8 years,0.0032,5000,rfc
52,Employment_Length:9 years,0.0022,5000,rfc
53,Employment_Length:< 1 year,0.0078,5000,rfc
54,Employment_Length:unknown,0.0097,5000,rfc
55,Employment_Length:ANY,0.0002,5000,rfc
56,Home_Ownership:MORTGAGE,0.013,5000,rfc
57,Home_Ownership:OWN,0.0064,5000,rfc
58,Home_Ownership:RENT,0.0087,5000,rfc
59,loan_amnt,0.0598,5000,rfc
60,int_rate,0.1151,5000,rfc
61,installment,0.074,5000,rfc
62,annual_inc,0.0644,5000,rfc
63,inq_last_6mths,0.0203,5000,rfc
64,delinq_2yrs,0.0111,5000,rfc
65,mths_since_last_delinq,0.0331,5000,rfc
66,open_acc,0.0472,5000,rfc
67,total_acc,0.0627,5000,rfc
68,mths_since_last_major_derog,0.0223,5000,rfc
69,dti,0.0709,5000,rfc
70,revol_bal,0.0672,5000,rfc
71,tot_cur_bal,0.071,5000,rfc
72,open_il_24m,0.0355,5000,rfc
73,chargeoff_within_12_mths,0.0011,5000,rfc
74,delinq_amnt,0.0001,5000,rfc
0,Term: 36 months,0.0001,5000,gbc
1,Term: 60 months,0.0003,5000,gbc
2,Loan_Grade:A,0.0198,5000,gbc
3,Loan_Grade:B,0.0023,5000,gbc
4,Loan_Grade:C,0.0012,5000,gbc
5,Loan_Grade:D,0.0044,5000,gbc
6,Loan_Grade:E,0.0006,5000,gbc
7,Loan_Grade:F,0.0,5000,gbc
8,Loan_Grade:G,0.0,5000,gbc
9,Loan_SubGrade:A1,0.0025,5000,gbc
10,Loan_SubGrade:A2,0.0019,5000,gbc
11,Loan_SubGrade:A3,0.0013,5000,gbc
12,Loan_SubGrade:A4,0.0059,5000,gbc
13,Loan_SubGrade:A5,0.0078,5000,gbc
14,Loan_SubGrade:B1,0.0025,5000,gbc
15,Loan_SubGrade:B2,0.0107,5000,gbc
16,Loan_SubGrade:B3,0.0164,5000,gbc
17,Loan_SubGrade:B4,0.0087,5000,gbc
18,Loan_SubGrade:B5,0.0019,5000,gbc
19,Loan_SubGrade:C1,0.0007,5000,gbc
20,Loan_SubGrade:C2,0.0077,5000,gbc
21,Loan_SubGrade:C3,0.0109,5000,gbc
22,Loan_SubGrade:C4,0.0144,5000,gbc
23,Loan_SubGrade:C5,0.0023,5000,gbc
24,Loan_SubGrade:D1,0.0018,5000,gbc
25,Loan_SubGrade:D2,0.007,5000,gbc
26,Loan_SubGrade:D3,0.0102,5000,gbc
27,Loan_SubGrade:D4,0.0109,5000,gbc
28,Loan_SubGrade:D5,0.005,5000,gbc
29,Loan_SubGrade:E1,0.0033,5000,gbc
30,Loan_SubGrade:E2,0.0022,5000,gbc
31,Loan_SubGrade:E3,0.0018,5000,gbc
32,Loan_SubGrade:E4,0.0022,5000,gbc
33,Loan_SubGrade:E5,0.0036,5000,gbc
34,Loan_SubGrade:F1,0.0003,5000,gbc
35,Loan_SubGrade:F2,0.0001,5000,gbc
36,Loan_SubGrade:F3,0.0,5000,gbc
37,Loan_SubGrade:F4,0.0,5000,gbc
38,Loan_SubGrade:F5,0.0,5000,gbc
39,Loan_SubGrade:G1,0.0001,5000,gbc
40,Loan_SubGrade:G2,0.0006,5000,gbc
41,Loan_SubGrade:G3,0.0,5000,gbc
42,Loan_SubGrade:G4,0.0,5000,gbc
43,Loan_SubGrade:1 year,0.0017,5000,gbc
44,Employment_Length:10+ years,0.001,5000,gbc
45,Employment_Length:2 years,0.0007,5000,gbc
46,Employment_Length:3 years,0.0003,5000,gbc
47,Employment_Length:4 years,0.0009,5000,gbc
48,Employment_Length:5 years,0.0023,5000,gbc
49,Employment_Length:6 years,0.001,5000,gbc
50,Employment_Length:7 years,0.0014,5000,gbc
51,Employment_Length:8 years,0.0014,5000,gbc
52,Employment_Length:9 years,0.0007,5000,gbc
53,Employment_Length:< 1 year,0.0023,5000,gbc
54,Employment_Length:unknown,0.0053,5000,gbc
55,Employment_Length:ANY,0.0004,5000,gbc
56,Home_Ownership:MORTGAGE,0.0188,5000,gbc
57,Home_Ownership:OWN,0.0008,5000,gbc
58,Home_Ownership:RENT,0.0013,5000,gbc
59,loan_amnt,0.0227,5000,gbc
60,int_rate,0.5143,5000,gbc
61,installment,0.0518,5000,gbc
62,annual_inc,0.0222,5000,gbc
63,inq_last_6mths,0.0048,5000,gbc
64,delinq_2yrs,0.0041,5000,gbc
65,mths_since_last_delinq,0.0085,5000,gbc
66,open_acc,0.011,5000,gbc
67,total_acc,0.0278,5000,gbc
68,mths_since_last_major_derog,0.0075,5000,gbc
69,dti,0.0357,5000,gbc
70,revol_bal,0.0254,5000,gbc
71,tot_cur_bal,0.0357,5000,gbc
72,open_il_24m,0.0143,5000,gbc
73,chargeoff_within_12_mths,0.0007,5000,gbc
74,delinq_amnt,0.0,5000,gbc
0,Term: 36 months,-22.6362,5000,logit
1,Term: 60 months,-22.6537,5000,logit
2,Loan_Grade:A,30.684,5000,logit
3,Loan_Grade:B,14.7088,5000,logit
4,Loan_Grade:C,0.0,5000,logit
5,Loan_Grade:D,-19.0629,5000,logit
6,Loan_Grade:E,-40.4662,5000,logit
7,Loan_Grade:F,-65.2537,5000,logit
8,Loan_Grade:G,-68.1889,5000,logit
9,Loan_SubGrade:A1,7.8767,5000,logit
10,Loan_SubGrade:A2,5.1878,5000,logit
11,Loan_SubGrade:A3,2.8957,5000,logit
12,Loan_SubGrade:A4,0.0,5000,logit
13,Loan_SubGrade:A5,-2.9169,5000,logit
14,Loan_SubGrade:B1,6.063,5000,logit
15,Loan_SubGrade:B2,4.3428,5000,logit
16,Loan_SubGrade:B3,2.114,5000,logit
17,Loan_SubGrade:B4,0.0,5000,logit
18,Loan_SubGrade:B5,-5.0442,5000,logit
19,Loan_SubGrade:C1,6.591,5000,logit
20,Loan_SubGrade:C2,2.333,5000,logit
21,Loan_SubGrade:C3,0.0,5000,logit
22,Loan_SubGrade:C4,-4.5819,5000,logit
23,Loan_SubGrade:C5,-8.2851,5000,logit
24,Loan_SubGrade:D1,5.9694,5000,logit
25,Loan_SubGrade:D2,1.9672,5000,logit
26,Loan_SubGrade:D3,-2.0285,5000,logit
27,Loan_SubGrade:D4,-6.0482,5000,logit
28,Loan_SubGrade:D5,-12.6702,5000,logit
29,Loan_SubGrade:E1,4.9591,5000,logit
30,Loan_SubGrade:E2,0.445,5000,logit
31,Loan_SubGrade:E3,-4.2697,5000,logit
32,Loan_SubGrade:E4,-7.616,5000,logit
33,Loan_SubGrade:E5,-12.003,5000,logit
34,Loan_SubGrade:F1,3.5744,5000,logit
35,Loan_SubGrade:F2,0.0,5000,logit
36,Loan_SubGrade:F3,-1.3631,5000,logit
37,Loan_SubGrade:F4,-2.877,5000,logit
38,Loan_SubGrade:F5,-3.7201,5000,logit
39,Loan_SubGrade:G1,-2.2568,5000,logit
40,Loan_SubGrade:G2,0.0,5000,logit
41,Loan_SubGrade:G3,0.0,5000,logit
42,Loan_SubGrade:G4,0.0,5000,logit
43,Loan_SubGrade:1 year,0.0,5000,logit
44,Employment_Length:10+ years,0.0,5000,logit
45,Employment_Length:2 years,-0.0543,5000,logit
46,Employment_Length:3 years,-0.1201,5000,logit
47,Employment_Length:4 years,-0.019,5000,logit
48,Employment_Length:5 years,0.0,5000,logit
49,Employment_Length:6 years,0.1017,5000,logit
50,Employment_Length:7 years,0.0,5000,logit
51,Employment_Length:8 years,0.1211,5000,logit
52,Employment_Length:9 years,0.1076,5000,logit
53,Employment_Length:< 1 year,0.1638,5000,logit
54,Employment_Length:unknown,-0.4661,5000,logit
55,Employment_Length:ANY,0.0,5000,logit
56,Home_Ownership:MORTGAGE,-1.7546,5000,logit
57,Home_Ownership:OWN,-2.1425,5000,logit
58,Home_Ownership:RENT,-2.1653,5000,logit
59,loan_amnt,0.0,5000,logit
60,int_rate,4.2521,5000,logit
61,installment,-0.0011,5000,logit
62,annual_inc,0.0,5000,logit
63,inq_last_6mths,-0.0601,5000,logit
64,delinq_2yrs,-0.0545,5000,logit
65,mths_since_last_delinq,0.0004,5000,logit
66,open_acc,-0.0131,5000,logit
67,total_acc,0.0187,5000,logit
68,mths_since_last_major_derog,-0.002,5000,logit
69,dti,-0.0053,5000,logit
70,revol_bal,-0.0,5000,logit
71,tot_cur_bal,0.0,5000,logit
72,open_il_24m,0.0466,5000,logit
73,chargeoff_within_12_mths,0.0,5000,logit
74,delinq_amnt,0.004,5000,logit
0,Term: 36 months,0.0062,10000,rfc
1,Term: 60 months,0.0064,10000,rfc
2,Loan_Grade:A,0.0131,10000,rfc
3,Loan_Grade:B,0.0078,10000,rfc
4,Loan_Grade:C,0.0066,10000,rfc
5,Loan_Grade:D,0.0078,10000,rfc
6,Loan_Grade:E,0.0037,10000,rfc
7,Loan_Grade:F,0.0022,10000,rfc
8,Loan_Grade:G,0.0005,10000,rfc
9,Loan_SubGrade:A1,0.0039,10000,rfc
10,Loan_SubGrade:A2,0.0014,10000,rfc
11,Loan_SubGrade:A3,0.0032,10000,rfc
12,Loan_SubGrade:A4,0.0026,10000,rfc
13,Loan_SubGrade:A5,0.0035,10000,rfc
14,Loan_SubGrade:B1,0.0036,10000,rfc
15,Loan_SubGrade:B2,0.0051,10000,rfc
16,Loan_SubGrade:B3,0.0036,10000,rfc
17,Loan_SubGrade:B4,0.0041,10000,rfc
18,Loan_SubGrade:B5,0.0042,10000,rfc
19,Loan_SubGrade:C1,0.0051,10000,rfc
20,Loan_SubGrade:C2,0.0045,10000,rfc
21,Loan_SubGrade:C3,0.004,10000,rfc
22,Loan_SubGrade:C4,0.0046,10000,rfc
23,Loan_SubGrade:C5,0.0042,10000,rfc
24,Loan_SubGrade:D1,0.0038,10000,rfc
25,Loan_SubGrade:D2,0.0036,10000,rfc
26,Loan_SubGrade:D3,0.0032,10000,rfc
27,Loan_SubGrade:D4,0.0031,10000,rfc
28,Loan_SubGrade:D5,0.004,10000,rfc
29,Loan_SubGrade:E1,0.0019,10000,rfc
30,Loan_SubGrade:E2,0.0015,10000,rfc
31,Loan_SubGrade:E3,0.0019,10000,rfc
32,Loan_SubGrade:E4,0.0017,10000,rfc
33,Loan_SubGrade:E5,0.0022,10000,rfc
34,Loan_SubGrade:F1,0.0006,10000,rfc
35,Loan_SubGrade:F2,0.0004,10000,rfc
36,Loan_SubGrade:F3,0.0003,10000,rfc
37,Loan_SubGrade:F4,0.0002,10000,rfc
38,Loan_SubGrade:F5,0.0003,10000,rfc
39,Loan_SubGrade:G1,0.0007,10000,rfc
40,Loan_SubGrade:G2,0.0001,10000,rfc
41,Loan_SubGrade:G3,0.0001,10000,rfc
42,Loan_SubGrade:G4,0.0001,10000,rfc
43,Loan_SubGrade:G5,0.0,10000,rfc
44,Employment_Length:1 year,0.0058,10000,rfc
45,Employment_Length:10+ years,0.0097,10000,rfc
46,Employment_Length:2 years,0.0059,10000,rfc
47,Employment_Length:3 years,0.0059,10000,rfc
48,Employment_Length:4 years,0.0052,10000,rfc
49,Employment_Length:5 years,0.0055,10000,rfc
50,Employment_Length:6 years,0.004,10000,rfc
51,Employment_Length:7 years,0.0036,10000,rfc
52,Employment_Length:8 years,0.003,10000,rfc
53,Employment_Length:9 years,0.0025,10000,rfc
54,Employment_Length:< 1 year,0.007,10000,rfc
55,Employment_Length:unknown,0.0077,10000,rfc
56,Home_Ownership:ANY,0.0001,10000,rfc
57,Home_Ownership:MORTGAGE,0.0121,10000,rfc
58,Home_Ownership:OWN,0.006,10000,rfc
59,Home_Ownership:RENT,0.0074,10000,rfc
60,loan_amnt,0.0575,10000,rfc
61,int_rate,0.1536,10000,rfc
62,installment,0.0697,10000,rfc
63,annual_inc,0.0625,10000,rfc
64,inq_last_6mths,0.0197,10000,rfc
65,delinq_2yrs,0.0115,10000,rfc
66,mths_since_last_delinq,0.0341,10000,rfc
67,open_acc,0.0475,10000,rfc
68,total_acc,0.0577,10000,rfc
69,mths_since_last_major_derog,0.0215,10000,rfc
70,dti,0.0664,10000,rfc
71,revol_bal,0.0635,10000,rfc
72,tot_cur_bal,0.0665,10000,rfc
73,open_il_24m,0.0343,10000,rfc
74,chargeoff_within_12_mths,0.001,10000,rfc
75,delinq_amnt,0.0001,10000,rfc
0,Term: 36 months,0.0003,10000,gbc
1,Term: 60 months,0.0002,10000,gbc
2,Loan_Grade:A,0.0001,10000,gbc
3,Loan_Grade:B,0.0007,10000,gbc
4,Loan_Grade:C,0.0151,10000,gbc
5,Loan_Grade:D,0.0011,10000,gbc
6,Loan_Grade:E,0.0003,10000,gbc
7,Loan_Grade:F,0.0057,10000,gbc
8,Loan_Grade:G,0.0,10000,gbc
9,Loan_SubGrade:A1,0.0004,10000,gbc
10,Loan_SubGrade:A2,0.0003,10000,gbc
11,Loan_SubGrade:A3,0.0014,10000,gbc
12,Loan_SubGrade:A4,0.0047,10000,gbc
13,Loan_SubGrade:A5,0.0016,10000,gbc
14,Loan_SubGrade:B1,0.0027,10000,gbc
15,Loan_SubGrade:B2,0.0112,10000,gbc
16,Loan_SubGrade:B3,0.0211,10000,gbc
17,Loan_SubGrade:B4,0.0002,10000,gbc
18,Loan_SubGrade:B5,0.0013,10000,gbc
19,Loan_SubGrade:C1,0.0008,10000,gbc
20,Loan_SubGrade:C2,0.0027,10000,gbc
21,Loan_SubGrade:C3,0.0043,10000,gbc
22,Loan_SubGrade:C4,0.0025,10000,gbc
23,Loan_SubGrade:C5,0.0042,10000,gbc
24,Loan_SubGrade:D1,0.0066,10000,gbc
25,Loan_SubGrade:D2,0.0095,10000,gbc
26,Loan_SubGrade:D3,0.0149,10000,gbc
27,Loan_SubGrade:D4,0.0077,10000,gbc
28,Loan_SubGrade:D5,0.005,10000,gbc
29,Loan_SubGrade:E1,0.0016,10000,gbc
30,Loan_SubGrade:E2,0.0019,10000,gbc
31,Loan_SubGrade:E3,0.0024,10000,gbc
32,Loan_SubGrade:E4,0.0052,10000,gbc
33,Loan_SubGrade:E5,0.008,10000,gbc
34,Loan_SubGrade:F1,0.0012,10000,gbc
35,Loan_SubGrade:F2,0.0006,10000,gbc
36,Loan_SubGrade:F3,0.0007,10000,gbc
37,Loan_SubGrade:F4,0.0003,10000,gbc
38,Loan_SubGrade:F5,0.0006,10000,gbc
39,Loan_SubGrade:G1,0.0015,10000,gbc
40,Loan_SubGrade:G2,0.0001,10000,gbc
41,Loan_SubGrade:G3,0.0002,10000,gbc
42,Loan_SubGrade:G4,0.0001,10000,gbc
43,Loan_SubGrade:G5,0.0,10000,gbc
44,Employment_Length:1 year,0.0004,10000,gbc
45,Employment_Length:10+ years,0.0002,10000,gbc
46,Employment_Length:2 years,0.0001,10000,gbc
47,Employment_Length:3 years,0.0008,10000,gbc
48,Employment_Length:4 years,0.0001,10000,gbc
49,Employment_Length:5 years,0.0008,10000,gbc
50,Employment_Length:6 years,0.0003,10000,gbc
51,Employment_Length:7 years,0.0008,10000,gbc
52,Employment_Length:8 years,0.0002,10000,gbc
53,Employment_Length:9 years,0.0,10000,gbc
54,Employment_Length:< 1 year,0.0018,10000,gbc
55,Employment_Length:unknown,0.0036,10000,gbc
56,Home_Ownership:ANY,0.0,10000,gbc
57,Home_Ownership:MORTGAGE,0.0153,10000,gbc
58,Home_Ownership:OWN,0.0004,10000,gbc
59,Home_Ownership:RENT,0.0001,10000,gbc
60,loan_amnt,0.0119,10000,gbc
61,int_rate,0.6756,10000,gbc
62,installment,0.0305,10000,gbc
63,annual_inc,0.0141,10000,gbc
64,inq_last_6mths,0.0044,10000,gbc
65,delinq_2yrs,0.0016,10000,gbc
66,mths_since_last_delinq,0.0032,10000,gbc
67,open_acc,0.0039,10000,gbc
68,total_acc,0.0187,10000,gbc
69,mths_since_last_major_derog,0.0048,10000,gbc
70,dti,0.0167,10000,gbc
71,revol_bal,0.0115,10000,gbc
72,tot_cur_bal,0.0186,10000,gbc
73,open_il_24m,0.0081,10000,gbc
74,chargeoff_within_12_mths,0.0005,10000,gbc
75,delinq_amnt,0.0,10000,gbc
0,Term: 36 months,-29.4281,10000,logit
1,Term: 60 months,-29.42,10000,logit
2,Loan_Grade:A,26.348,10000,logit
3,Loan_Grade:B,4.1874,10000,logit
4,Loan_Grade:C,-13.4017,10000,logit
5,Loan_Grade:D,-40.0971,10000,logit
6,Loan_Grade:E,-72.4688,10000,logit
7,Loan_Grade:F,-105.632,10000,logit
8,Loan_Grade:G,-111.0867,10000,logit
